"tt0000001"|20000000|
"tt0000002"|20000001|
"tt0000003"|20000001|
"tt0000004"|20000001|
"tt0000005"|20000002|
"tt0000005"|20000003|
"tt0000006"|20000001|
"tt0000007"|20000004|
"tt0000007"|20000005|
"tt0000008"|20000006|
"tt0000009"|20000007|
"tt0000009"|20000008|
"tt0000009"|20000009|
"tt0000010"|20000001|
"tt0000011"|20000010|
"tt0000012"|20000011|
"tt0000012"|20000012|
"tt0000012"|20000013|
"tt0000014"|20000014|
"tt0000014"|20000015|
"tt0000015"|20000001|
"tt0000016"|20000013|
"tt0000016"|20000016|
"tt0000017"|20000017|
"tt0000017"|20000018|
"tt0000018"|20000019|
"tt0000020"|20000001|
"tt0000022"|20000001|
"tt0000023"|20000001|
"tt0000024"|20000020|
"tt0000024"|20000021|
"tt0000025"|20000001|
"tt0000026"|20000022|
"tt0000026"|20000023|
"tt0000026"|20000024|
"tt0000027"|20000001|
"tt0000028"|20000025|
"tt0000028"|20000026|
"tt0000029"|20000026|
"tt0000029"|20000013|
"tt0000029"|20000025|
"tt0000030"|20000001|
"tt0000031"|20000001|
"tt0000032"|20000027|
"tt0000033"|20000001|
"tt0000034"|20000001|
"tt0000035"|20000001|
"tt0000036"|20000028|
"tt0000037"|20000001|
"tt0000038"|20000029|
"tt0000038"|20000030|
"tt0000038"|20000031|
"tt0000040"|20000001|
"tt0000041"|20000001|
"tt0000042"|20000001|
"tt0000043"|20000001|
"tt0000044"|20000001|
"tt0000045"|20000001|
"tt0000046"|20000001|
"tt0000047"|20000001|
"tt0000048"|20000001|
"tt0000049"|20000001|
"tt0000050"|20000032|
"tt0000051"|20000001|
"tt0000052"|20000001|
"tt0000054"|20000001|
"tt0000055"|20000001|
"tt0000057"|20000033|
"tt0000057"|20000034|
"tt0000058"|20000033|
"tt0000059"|20000001|
"tt0000062"|20000001|
"tt0000063"|20000035|
"tt0000064"|20000035|
"tt0000065"|20000035|
"tt0000066"|20000035|
"tt0000067"|20000001|
"tt0000068"|20000001|
"tt0000069"|20000001|
"tt0000070"|20000026|
