20000179|"Betty Harte"|
20000180|"Robert Z. Leonard"|
20000181|"Tom Santschi"|
20000182|"John G. Adolfi"|
20000183|"Josephine Atkinson"|
20000184|"Mlle. Bodson"|
20000185|"Holger-Madsen"|
20000186|"Suzanne Faes"|
20000187|"Luigi Maggi"|
20000188|"Lydia De Roberti"|
20000189|"Umberto Mozzato"|
20000190|"Mirra Principi"|
20000191|"Svend Bille"|
20000192|"Aage Brandt"|
20000193|"Gudrun Kjerulf"|
20000194|"Frank Powell"|
20000195|"Mary Pickford"|
20000196|"Kate Bruce"|
20000197|"August Blom"|
20000198|"Axel Schultz"|
20000199|"James Kirkwood"|
20000200|"Grace Henderson"|
20000201|"Owen Moore"|
20000202|"Violet Mersereau"|
20000203|"Carlos Leal"|
20000204|"Luz Veloso"|
20000205|"Nascimento Fernandes"|
20000206|"Adele DeGarde"|
20000207|"Charles Avery"|
20000208|"Barry O'Moore"|
20000209|"Charles Perley"|
20000210|"Henry B. Walthall"|
20000211|"Mariya Korolyova"|
20000212|"Aleksey Muravin"|
20000213|"Yelizaveta Uvarova"|
20000214|"Billy Quirk"|
20000215|"Edwin August"|
20000216|"George Nichols"|
20000217|"Francisco I. Madero"|
20000218|"José María Pino Suárez"|
20000219|"Anita Hendrie"|
20000220|"Elith Pio"|
20000221|"Agnes Lorentzen"|
20000222|"Viking Ringheim"|
20000223|"Petrine Sonne"|
20000224|"Jack Conway"|
20000225|"Dorothy Davenport"|
20000226|"Mary Fuller"|
20000227|"Marc McDermott"|
20000228|"Herbert Prior"|
20000229|"Clara T. Bracy"|
20000230|"Aage Lorentzen"|
20000231|"Dorothy Bernard"|
20000232|"Ruth Hart"|
20000233|"Verner Clarges"|
20000234|"José Argelagués"|
20000235|"Joaquín Carrasco"|
20000236|"José Durany"|
20000237|"David Miles"|
20000238|"Walter Ackerman"|
20000239|"Charles Chapman"|
20000240|"Dolores Costello"|
20000241|"Helene Costello"|
20000242|"André Bacqué"|
20000243|"Abel Gance"|
20000244|"René d'Auchy"|
20000245|"Amélie de Pouzols"|
20000246|"Pitje Ambreville"|
20000247|"Berryer"|
20000248|"Mademoiselle Saunières"|
20000249|"Rose King"|
20000250|"Caroline Harris"|
20000251|"Frank Evans"|
20000252|"Frank Walsh"|
20000253|"Gertrude Robinson"|
20000254|"Gladys Hulette"|
20000255|"Lottie Pickford"|
20000256|"Charles West"|
20000257|"Stacia Napierkowska"|
20000258|"George Footit"|
20000259|"Tommy Footit"|
20000260|"Stephanie Longfellow"|
20000261|"Flora Finch"|
20000262|"John Tansey"|
20000263|"Asta Nielsen"|
20000264|"Robert Dinesen"|
20000265|"Poul Reumert"|
20000266|"Hans Neergaard"|
20000267|"Blanche Sweet"|
20000268|"Joseph Smith"|
20000269|"Franklin Hall"|
20000270|"John B. O'Brien"|
20000271|"Joseph Graybill"|
20000272|"Dell Henderson"|
20000273|"Clara Williams"|
20000274|"Fred Church"|
20000275|"Chick Morrison"|
20000276|"Lou Tellegen"|
20000277|"Paul Capellani"|
20000278|"Mary Maurice"|
20000279|"Carlyle Blackwell"|
20000280|"Florence Turner"|
